reason_code,row_count
CAP_APPLIED_CONFIDENCE,1
HIGH_DEMAND_RATIO,1052
LOW_CONFIDENCE_DAMPENING,219
MISSING_BASELINE_REFERENCE_FALLBACK,1052
RATE_LIMIT_INCREASE_CLAMP,607
SMOOTHING_APPLIED,1052
