reason_code,row_count
CAP_APPLIED_CONFIDENCE,1
HIGH_DEMAND_RATIO,1052
LOW_CONFIDENCE_DAMPENING,219
MISSING_BASELINE_REFERENCE_FALLBACK,1052
NO_PREVIOUS_MULTIPLIER_COLD_START,263
RATE_LIMIT_INCREASE_CLAMP,789
SMOOTHING_APPLIED,1052
