reason_code,row_count
BASELINE_FALLBACK_ZONE,263
CAP_APPLIED_CONFIDENCE,34
HIGH_DEMAND_RATIO,80
LOW_CONFIDENCE_DAMPENING,203
NORMAL_DEMAND_BASELINE,183
NO_PREVIOUS_MULTIPLIER_COLD_START,263
RATE_LIMIT_INCREASE_CLAMP,62
SMOOTHING_APPLIED,263
