zone_id,bucket_start_ts,forecast_created_at,horizon_index,y_pred,y_pred_lower,y_pred_upper,confidence_score,uncertainty_band,model_name,model_version,model_stage,feature_version,forecast_run_id,zone_class,day_of_week,quarter_hour_index,baseline_expected_demand_zone,borough,baseline_expected_demand_borough,baseline_expected_demand_city,baseline_expected_demand,baseline_reference_level,fallback_applied,demand_ratio,raw_multiplier,raw_multiplier_method,low_confidence_adjusted,pre_guardrail_multiplier,pre_cap_multiplier,cap_applied,cap_reason,cap_type,cap_value,time_category,post_cap_multiplier,previous_final_multiplier,candidate_multiplier_before_rate_limit,rate_limit_applied,rate_limit_direction,max_up_delta,max_down_delta,post_rate_limit_multiplier,smoothing_applied,smoothing_reclamped,final_multiplier,cold_start_used,reason_codes_json,primary_reason_code,reason_summary,pricing_created_at,pricing_run_key,pricing_policy_version,run_id,status
218,2025-11-03 00:00:00+00:00,2026-02-24 10:28:43.332300+00:00,1,1.6531994703221922,0.0,3.3063989406443843,0.275,high,ride-demand-forecast-model,7,Staging,v1,f154c455-d9fc-41ae-b211-267cc5497d4a,,0,0,,Queens,,,0.5,global,True,3.3063989406443843,2.25,demand_ratio_piecewise,True,1.9375,1.9375,False,,,,off_peak,1.9375,1.00078125,1.9375,True,up,0.35,0.25,1.3507812499999998,True,False,1.26328125,False,"['HIGH_DEMAND_RATIO', 'MISSING_BASELINE_REFERENCE_FALLBACK', 'LOW_CONFIDENCE_DAMPENING', 'RATE_LIMIT_INCREASE_CLAMP', 'SMOOTHING_APPLIED']",RATE_LIMIT_INCREASE_CLAMP,Demand forecast is significantly above baseline reference. | Baseline fallback reached global minimum because no baseline source was found. | Raw multiplier increase was dampened due to low confidence.,2026-02-24 10:28:49.250230+00:00,f8c0aab934ac1502c303467d,pr1,06636887-a753-477e-83e2-77c8faf38589,published
219,2025-11-03 00:00:00+00:00,2026-02-24 10:28:43.332300+00:00,1,1.6531994703221922,0.0,3.3063989406443843,0.275,high,ride-demand-forecast-model,7,Staging,v1,f154c455-d9fc-41ae-b211-267cc5497d4a,,0,0,,Queens,,,0.5,global,True,3.3063989406443843,2.25,demand_ratio_piecewise,True,1.9375,1.9375,False,,,,off_peak,1.9375,1.00078125,1.9375,True,up,0.35,0.25,1.3507812499999998,True,False,1.26328125,False,"['HIGH_DEMAND_RATIO', 'MISSING_BASELINE_REFERENCE_FALLBACK', 'LOW_CONFIDENCE_DAMPENING', 'RATE_LIMIT_INCREASE_CLAMP', 'SMOOTHING_APPLIED']",RATE_LIMIT_INCREASE_CLAMP,Demand forecast is significantly above baseline reference. | Baseline fallback reached global minimum because no baseline source was found. | Raw multiplier increase was dampened due to low confidence.,2026-02-24 10:28:49.250230+00:00,f8c0aab934ac1502c303467d,pr1,06636887-a753-477e-83e2-77c8faf38589,published
220,2025-11-03 00:00:00+00:00,2026-02-24 10:28:43.332300+00:00,1,1.6531994703221922,0.0,3.3063989406443843,0.275,high,ride-demand-forecast-model,7,Staging,v1,f154c455-d9fc-41ae-b211-267cc5497d4a,,0,0,,Bronx,,,0.5,global,True,3.3063989406443843,2.25,demand_ratio_piecewise,True,1.9375,1.9375,False,,,,off_peak,1.9375,1.0082907952201317,1.9375,True,up,0.35,0.25,1.3582907952201317,True,False,1.2707907952201318,False,"['HIGH_DEMAND_RATIO', 'MISSING_BASELINE_REFERENCE_FALLBACK', 'LOW_CONFIDENCE_DAMPENING', 'RATE_LIMIT_INCREASE_CLAMP', 'SMOOTHING_APPLIED']",RATE_LIMIT_INCREASE_CLAMP,Demand forecast is significantly above baseline reference. | Baseline fallback reached global minimum because no baseline source was found. | Raw multiplier increase was dampened due to low confidence.,2026-02-24 10:28:49.250230+00:00,f8c0aab934ac1502c303467d,pr1,06636887-a753-477e-83e2-77c8faf38589,published
221,2025-11-03 00:00:00+00:00,2026-02-24 10:28:43.332300+00:00,1,1.6531994703221922,0.0,3.3063989406443843,0.275,high,ride-demand-forecast-model,7,Staging,v1,f154c455-d9fc-41ae-b211-267cc5497d4a,,0,0,,Staten Island,,,0.5,global,True,3.3063989406443843,2.25,demand_ratio_piecewise,True,1.9375,1.9375,False,,,,off_peak,1.9375,1.00078125,1.9375,True,up,0.35,0.25,1.3507812499999998,True,False,1.26328125,False,"['HIGH_DEMAND_RATIO', 'MISSING_BASELINE_REFERENCE_FALLBACK', 'LOW_CONFIDENCE_DAMPENING', 'RATE_LIMIT_INCREASE_CLAMP', 'SMOOTHING_APPLIED']",RATE_LIMIT_INCREASE_CLAMP,Demand forecast is significantly above baseline reference. | Baseline fallback reached global minimum because no baseline source was found. | Raw multiplier increase was dampened due to low confidence.,2026-02-24 10:28:49.250230+00:00,f8c0aab934ac1502c303467d,pr1,06636887-a753-477e-83e2-77c8faf38589,published
222,2025-11-03 00:00:00+00:00,2026-02-24 10:28:43.332300+00:00,1,1.6531994703221922,0.0,3.3063989406443843,0.275,high,ride-demand-forecast-model,7,Staging,v1,f154c455-d9fc-41ae-b211-267cc5497d4a,,0,0,,Brooklyn,,,0.5,global,True,3.3063989406443843,2.25,demand_ratio_piecewise,True,1.9375,1.9375,False,,,,off_peak,1.9375,1.00078125,1.9375,True,up,0.35,0.25,1.3507812499999998,True,False,1.26328125,False,"['HIGH_DEMAND_RATIO', 'MISSING_BASELINE_REFERENCE_FALLBACK', 'LOW_CONFIDENCE_DAMPENING', 'RATE_LIMIT_INCREASE_CLAMP', 'SMOOTHING_APPLIED']",RATE_LIMIT_INCREASE_CLAMP,Demand forecast is significantly above baseline reference. | Baseline fallback reached global minimum because no baseline source was found. | Raw multiplier increase was dampened due to low confidence.,2026-02-24 10:28:49.250230+00:00,f8c0aab934ac1502c303467d,pr1,06636887-a753-477e-83e2-77c8faf38589,published
223,2025-11-03 00:00:00+00:00,2026-02-24 10:28:43.332300+00:00,1,1.6531994703221922,0.0,3.3063989406443843,0.275,high,ride-demand-forecast-model,7,Staging,v1,f154c455-d9fc-41ae-b211-267cc5497d4a,,0,0,,Queens,,,0.5,global,True,3.3063989406443843,2.25,demand_ratio_piecewise,True,1.9375,1.9375,False,,,,off_peak,1.9375,1.0107237480015367,1.9375,True,up,0.35,0.25,1.3607237480015368,True,False,1.273223748001537,False,"['HIGH_DEMAND_RATIO', 'MISSING_BASELINE_REFERENCE_FALLBACK', 'LOW_CONFIDENCE_DAMPENING', 'RATE_LIMIT_INCREASE_CLAMP', 'SMOOTHING_APPLIED']",RATE_LIMIT_INCREASE_CLAMP,Demand forecast is significantly above baseline reference. | Baseline fallback reached global minimum because no baseline source was found. | Raw multiplier increase was dampened due to low confidence.,2026-02-24 10:28:49.250230+00:00,f8c0aab934ac1502c303467d,pr1,06636887-a753-477e-83e2-77c8faf38589,published
224,2025-11-03 00:00:00+00:00,2026-02-24 10:28:43.332300+00:00,1,1.827816215376891,0.17461674505469893,3.4810156856990835,0.28879471086192443,high,ride-demand-forecast-model,7,Staging,v1,f154c455-d9fc-41ae-b211-267cc5497d4a,,0,0,,Manhattan,,,0.5,global,True,3.655632430753782,2.25,demand_ratio_piecewise,True,1.9375,1.9375,False,,,,off_peak,1.9375,2.184375,1.9375,False,none,0.35,0.25,1.9375,True,False,1.99921875,False,"['HIGH_DEMAND_RATIO', 'MISSING_BASELINE_REFERENCE_FALLBACK', 'LOW_CONFIDENCE_DAMPENING', 'SMOOTHING_APPLIED']",LOW_CONFIDENCE_DAMPENING,Demand forecast is significantly above baseline reference. | Baseline fallback reached global minimum because no baseline source was found. | Raw multiplier increase was dampened due to low confidence.,2026-02-24 10:28:49.250230+00:00,f8c0aab934ac1502c303467d,pr1,06636887-a753-477e-83e2-77c8faf38589,published
225,2025-11-03 00:00:00+00:00,2026-02-24 10:28:43.332300+00:00,1,1.6531994703221922,0.0,3.3063989406443843,0.275,high,ride-demand-forecast-model,7,Staging,v1,f154c455-d9fc-41ae-b211-267cc5497d4a,,0,0,,Brooklyn,,,0.5,global,True,3.3063989406443843,2.25,demand_ratio_piecewise,True,1.9375,1.9375,False,,,,off_peak,1.9375,1.0100042838024927,1.9375,True,up,0.35,0.25,1.3600042838024926,True,False,1.2725042838024927,False,"['HIGH_DEMAND_RATIO', 'MISSING_BASELINE_REFERENCE_FALLBACK', 'LOW_CONFIDENCE_DAMPENING', 'RATE_LIMIT_INCREASE_CLAMP', 'SMOOTHING_APPLIED']",RATE_LIMIT_INCREASE_CLAMP,Demand forecast is significantly above baseline reference. | Baseline fallback reached global minimum because no baseline source was found. | Raw multiplier increase was dampened due to low confidence.,2026-02-24 10:28:49.250230+00:00,f8c0aab934ac1502c303467d,pr1,06636887-a753-477e-83e2-77c8faf38589,published
226,2025-11-03 00:00:00+00:00,2026-02-24 10:28:43.332300+00:00,1,1.6531994703221922,0.0,3.3063989406443843,0.275,high,ride-demand-forecast-model,7,Staging,v1,f154c455-d9fc-41ae-b211-267cc5497d4a,,0,0,,Queens,,,0.5,global,True,3.3063989406443843,2.25,demand_ratio_piecewise,True,1.9375,1.9375,False,,,,off_peak,1.9375,1.3539535887577523,1.9375,True,up,0.35,0.25,1.7039535887577522,True,False,1.6164535887577522,False,"['HIGH_DEMAND_RATIO', 'MISSING_BASELINE_REFERENCE_FALLBACK', 'LOW_CONFIDENCE_DAMPENING', 'RATE_LIMIT_INCREASE_CLAMP', 'SMOOTHING_APPLIED']",RATE_LIMIT_INCREASE_CLAMP,Demand forecast is significantly above baseline reference. | Baseline fallback reached global minimum because no baseline source was found. | Raw multiplier increase was dampened due to low confidence.,2026-02-24 10:28:49.250230+00:00,f8c0aab934ac1502c303467d,pr1,06636887-a753-477e-83e2-77c8faf38589,published
227,2025-11-03 00:00:00+00:00,2026-02-24 10:28:43.332300+00:00,1,1.6531994703221922,0.0,3.3063989406443843,0.275,high,ride-demand-forecast-model,7,Staging,v1,f154c455-d9fc-41ae-b211-267cc5497d4a,,0,0,,Brooklyn,,,0.5,global,True,3.3063989406443843,2.25,demand_ratio_piecewise,True,1.9375,1.9375,False,,,,off_peak,1.9375,1.00078125,1.9375,True,up,0.35,0.25,1.3507812499999998,True,False,1.26328125,False,"['HIGH_DEMAND_RATIO', 'MISSING_BASELINE_REFERENCE_FALLBACK', 'LOW_CONFIDENCE_DAMPENING', 'RATE_LIMIT_INCREASE_CLAMP', 'SMOOTHING_APPLIED']",RATE_LIMIT_INCREASE_CLAMP,Demand forecast is significantly above baseline reference. | Baseline fallback reached global minimum because no baseline source was found. | Raw multiplier increase was dampened due to low confidence.,2026-02-24 10:28:49.250230+00:00,f8c0aab934ac1502c303467d,pr1,06636887-a753-477e-83e2-77c8faf38589,published
