reason_code,row_count
HIGH_DEMAND_RATIO,263
LOW_CONFIDENCE_DAMPENING,219
MISSING_BASELINE_REFERENCE_FALLBACK,263
RATE_LIMIT_INCREASE_CLAMP,203
SMOOTHING_APPLIED,263
