zone_id,bucket_start_ts,forecast_created_at,horizon_index,y_pred,y_pred_lower,y_pred_upper,confidence_score,uncertainty_band,model_name,model_version,model_stage,feature_version,forecast_run_id,zone_class,day_of_week,quarter_hour_index,baseline_expected_demand_zone,borough,baseline_expected_demand_borough,baseline_expected_demand_city,baseline_expected_demand,baseline_reference_level,fallback_applied,demand_ratio,raw_multiplier,raw_multiplier_method,low_confidence_adjusted,pre_guardrail_multiplier,pre_cap_multiplier,cap_applied,cap_reason,cap_type,cap_value,time_category,post_cap_multiplier,previous_final_multiplier,candidate_multiplier_before_rate_limit,rate_limit_applied,rate_limit_direction,max_up_delta,max_down_delta,post_rate_limit_multiplier,smoothing_applied,smoothing_reclamped,final_multiplier,cold_start_used,reason_codes_json,primary_reason_code,reason_summary,pricing_created_at,pricing_run_key,pricing_policy_version,run_id,status
1,2025-11-03 00:00:00+00:00,2026-02-24 09:35:26.812515+00:00,1,1.6531994703221922,0.0,3.3063989406443843,0.275,high,ride-demand-forecast-model,7,Staging,v1,1fa85766-c25d-451e-a643-d0640ea8e8cd,,0,0,,EWR,,,0.5,global,True,3.3063989406443843,2.25,demand_ratio_piecewise,True,1.75,1.75,False,,,,off_peak,1.75,1.0,1.75,True,up,0.2,0.15,1.2,True,False,1.13,True,"['HIGH_DEMAND_RATIO', 'MISSING_BASELINE_REFERENCE_FALLBACK', 'LOW_CONFIDENCE_DAMPENING', 'RATE_LIMIT_INCREASE_CLAMP', 'SMOOTHING_APPLIED', 'NO_PREVIOUS_MULTIPLIER_COLD_START']",RATE_LIMIT_INCREASE_CLAMP,Demand forecast is significantly above baseline reference. | Baseline fallback reached global minimum because no baseline source was found. | Raw multiplier increase was dampened due to low confidence.,2026-02-24 09:35:39.578658+00:00,b24f1f84f47822e6484a7ff9,pr1,06b089c2-3446-40ba-ab09-489ef9fdc4ca,ready
2,2025-11-03 00:00:00+00:00,2026-02-24 09:35:26.812515+00:00,1,1.6531994703221922,0.0,3.3063989406443843,0.275,high,ride-demand-forecast-model,7,Staging,v1,1fa85766-c25d-451e-a643-d0640ea8e8cd,,0,0,,Queens,,,0.5,global,True,3.3063989406443843,2.25,demand_ratio_piecewise,True,1.75,1.75,False,,,,off_peak,1.75,1.0,1.75,True,up,0.2,0.15,1.2,True,False,1.13,True,"['HIGH_DEMAND_RATIO', 'MISSING_BASELINE_REFERENCE_FALLBACK', 'LOW_CONFIDENCE_DAMPENING', 'RATE_LIMIT_INCREASE_CLAMP', 'SMOOTHING_APPLIED', 'NO_PREVIOUS_MULTIPLIER_COLD_START']",RATE_LIMIT_INCREASE_CLAMP,Demand forecast is significantly above baseline reference. | Baseline fallback reached global minimum because no baseline source was found. | Raw multiplier increase was dampened due to low confidence.,2026-02-24 09:35:39.578658+00:00,b24f1f84f47822e6484a7ff9,pr1,06b089c2-3446-40ba-ab09-489ef9fdc4ca,ready
3,2025-11-03 00:00:00+00:00,2026-02-24 09:35:26.812515+00:00,1,1.6531994703221922,0.0,3.3063989406443843,0.275,high,ride-demand-forecast-model,7,Staging,v1,1fa85766-c25d-451e-a643-d0640ea8e8cd,,0,0,,Bronx,,,0.5,global,True,3.3063989406443843,2.25,demand_ratio_piecewise,True,1.75,1.75,False,,,,off_peak,1.75,1.0,1.75,True,up,0.2,0.15,1.2,True,False,1.13,True,"['HIGH_DEMAND_RATIO', 'MISSING_BASELINE_REFERENCE_FALLBACK', 'LOW_CONFIDENCE_DAMPENING', 'RATE_LIMIT_INCREASE_CLAMP', 'SMOOTHING_APPLIED', 'NO_PREVIOUS_MULTIPLIER_COLD_START']",RATE_LIMIT_INCREASE_CLAMP,Demand forecast is significantly above baseline reference. | Baseline fallback reached global minimum because no baseline source was found. | Raw multiplier increase was dampened due to low confidence.,2026-02-24 09:35:39.578658+00:00,b24f1f84f47822e6484a7ff9,pr1,06b089c2-3446-40ba-ab09-489ef9fdc4ca,ready
4,2025-11-03 00:00:00+00:00,2026-02-24 09:35:26.812515+00:00,1,2.00243296043159,0.34923349010939786,3.655632430753782,0.3012715717729535,high,ride-demand-forecast-model,7,Staging,v1,1fa85766-c25d-451e-a643-d0640ea8e8cd,,0,0,,Manhattan,,,0.5,global,True,4.00486592086318,2.25,demand_ratio_piecewise,True,1.75,1.75,False,,,,off_peak,1.75,1.0,1.75,True,up,0.2,0.15,1.2,True,False,1.13,True,"['HIGH_DEMAND_RATIO', 'MISSING_BASELINE_REFERENCE_FALLBACK', 'LOW_CONFIDENCE_DAMPENING', 'RATE_LIMIT_INCREASE_CLAMP', 'SMOOTHING_APPLIED', 'NO_PREVIOUS_MULTIPLIER_COLD_START']",RATE_LIMIT_INCREASE_CLAMP,Demand forecast is significantly above baseline reference. | Baseline fallback reached global minimum because no baseline source was found. | Raw multiplier increase was dampened due to low confidence.,2026-02-24 09:35:39.578658+00:00,b24f1f84f47822e6484a7ff9,pr1,06b089c2-3446-40ba-ab09-489ef9fdc4ca,ready
5,2025-11-03 00:00:00+00:00,2026-02-24 09:35:26.812515+00:00,1,1.6531994703221922,0.0,3.3063989406443843,0.275,high,ride-demand-forecast-model,7,Staging,v1,1fa85766-c25d-451e-a643-d0640ea8e8cd,,0,0,,Staten Island,,,0.5,global,True,3.3063989406443843,2.25,demand_ratio_piecewise,True,1.75,1.75,False,,,,off_peak,1.75,1.0,1.75,True,up,0.2,0.15,1.2,True,False,1.13,True,"['HIGH_DEMAND_RATIO', 'MISSING_BASELINE_REFERENCE_FALLBACK', 'LOW_CONFIDENCE_DAMPENING', 'RATE_LIMIT_INCREASE_CLAMP', 'SMOOTHING_APPLIED', 'NO_PREVIOUS_MULTIPLIER_COLD_START']",RATE_LIMIT_INCREASE_CLAMP,Demand forecast is significantly above baseline reference. | Baseline fallback reached global minimum because no baseline source was found. | Raw multiplier increase was dampened due to low confidence.,2026-02-24 09:35:39.578658+00:00,b24f1f84f47822e6484a7ff9,pr1,06b089c2-3446-40ba-ab09-489ef9fdc4ca,ready
6,2025-11-03 00:00:00+00:00,2026-02-24 09:35:26.812515+00:00,1,1.6531994703221922,0.0,3.3063989406443843,0.275,high,ride-demand-forecast-model,7,Staging,v1,1fa85766-c25d-451e-a643-d0640ea8e8cd,,0,0,,Staten Island,,,0.5,global,True,3.3063989406443843,2.25,demand_ratio_piecewise,True,1.75,1.75,False,,,,off_peak,1.75,1.0,1.75,True,up,0.2,0.15,1.2,True,False,1.13,True,"['HIGH_DEMAND_RATIO', 'MISSING_BASELINE_REFERENCE_FALLBACK', 'LOW_CONFIDENCE_DAMPENING', 'RATE_LIMIT_INCREASE_CLAMP', 'SMOOTHING_APPLIED', 'NO_PREVIOUS_MULTIPLIER_COLD_START']",RATE_LIMIT_INCREASE_CLAMP,Demand forecast is significantly above baseline reference. | Baseline fallback reached global minimum because no baseline source was found. | Raw multiplier increase was dampened due to low confidence.,2026-02-24 09:35:39.578658+00:00,b24f1f84f47822e6484a7ff9,pr1,06b089c2-3446-40ba-ab09-489ef9fdc4ca,ready
7,2025-11-03 00:00:00+00:00,2026-02-24 09:35:26.812515+00:00,1,1.6531994703221922,0.0,3.3063989406443843,0.275,high,ride-demand-forecast-model,7,Staging,v1,1fa85766-c25d-451e-a643-d0640ea8e8cd,,0,0,,Queens,,,0.5,global,True,3.3063989406443843,2.25,demand_ratio_piecewise,True,1.75,1.75,False,,,,off_peak,1.75,1.0,1.75,True,up,0.2,0.15,1.2,True,False,1.13,True,"['HIGH_DEMAND_RATIO', 'MISSING_BASELINE_REFERENCE_FALLBACK', 'LOW_CONFIDENCE_DAMPENING', 'RATE_LIMIT_INCREASE_CLAMP', 'SMOOTHING_APPLIED', 'NO_PREVIOUS_MULTIPLIER_COLD_START']",RATE_LIMIT_INCREASE_CLAMP,Demand forecast is significantly above baseline reference. | Baseline fallback reached global minimum because no baseline source was found. | Raw multiplier increase was dampened due to low confidence.,2026-02-24 09:35:39.578658+00:00,b24f1f84f47822e6484a7ff9,pr1,06b089c2-3446-40ba-ab09-489ef9fdc4ca,ready
8,2025-11-03 00:00:00+00:00,2026-02-24 09:35:26.812515+00:00,1,1.6531994703221922,0.0,3.3063989406443843,0.275,high,ride-demand-forecast-model,7,Staging,v1,1fa85766-c25d-451e-a643-d0640ea8e8cd,,0,0,,Queens,,,0.5,global,True,3.3063989406443843,2.25,demand_ratio_piecewise,True,1.75,1.75,False,,,,off_peak,1.75,1.0,1.75,True,up,0.2,0.15,1.2,True,False,1.13,True,"['HIGH_DEMAND_RATIO', 'MISSING_BASELINE_REFERENCE_FALLBACK', 'LOW_CONFIDENCE_DAMPENING', 'RATE_LIMIT_INCREASE_CLAMP', 'SMOOTHING_APPLIED', 'NO_PREVIOUS_MULTIPLIER_COLD_START']",RATE_LIMIT_INCREASE_CLAMP,Demand forecast is significantly above baseline reference. | Baseline fallback reached global minimum because no baseline source was found. | Raw multiplier increase was dampened due to low confidence.,2026-02-24 09:35:39.578658+00:00,b24f1f84f47822e6484a7ff9,pr1,06b089c2-3446-40ba-ab09-489ef9fdc4ca,ready
9,2025-11-03 00:00:00+00:00,2026-02-24 09:35:26.812515+00:00,1,1.6531994703221922,0.0,3.3063989406443843,0.275,high,ride-demand-forecast-model,7,Staging,v1,1fa85766-c25d-451e-a643-d0640ea8e8cd,,0,0,,Queens,,,0.5,global,True,3.3063989406443843,2.25,demand_ratio_piecewise,True,1.75,1.75,False,,,,off_peak,1.75,1.0,1.75,True,up,0.2,0.15,1.2,True,False,1.13,True,"['HIGH_DEMAND_RATIO', 'MISSING_BASELINE_REFERENCE_FALLBACK', 'LOW_CONFIDENCE_DAMPENING', 'RATE_LIMIT_INCREASE_CLAMP', 'SMOOTHING_APPLIED', 'NO_PREVIOUS_MULTIPLIER_COLD_START']",RATE_LIMIT_INCREASE_CLAMP,Demand forecast is significantly above baseline reference. | Baseline fallback reached global minimum because no baseline source was found. | Raw multiplier increase was dampened due to low confidence.,2026-02-24 09:35:39.578658+00:00,b24f1f84f47822e6484a7ff9,pr1,06b089c2-3446-40ba-ab09-489ef9fdc4ca,ready
10,2025-11-03 00:00:00+00:00,2026-02-24 09:35:26.812515+00:00,1,1.7114050520070918,0.05820558168489964,3.3646045223292838,0.2797573302767442,high,ride-demand-forecast-model,7,Staging,v1,1fa85766-c25d-451e-a643-d0640ea8e8cd,,0,0,,Queens,,,0.5,global,True,3.4228101040141836,2.25,demand_ratio_piecewise,True,1.75,1.75,False,,,,off_peak,1.75,1.0,1.75,True,up,0.2,0.15,1.2,True,False,1.13,True,"['HIGH_DEMAND_RATIO', 'MISSING_BASELINE_REFERENCE_FALLBACK', 'LOW_CONFIDENCE_DAMPENING', 'RATE_LIMIT_INCREASE_CLAMP', 'SMOOTHING_APPLIED', 'NO_PREVIOUS_MULTIPLIER_COLD_START']",RATE_LIMIT_INCREASE_CLAMP,Demand forecast is significantly above baseline reference. | Baseline fallback reached global minimum because no baseline source was found. | Raw multiplier increase was dampened due to low confidence.,2026-02-24 09:35:39.578658+00:00,b24f1f84f47822e6484a7ff9,pr1,06b089c2-3446-40ba-ab09-489ef9fdc4ca,ready
